# name          RA         DEC           l           b
  M1     83.633212  +22.014460  184.557556   -5.784277
  M2    323.362552   -0.823318   53.370790  -35.769774
  M3    205.546777  +28.375454   42.208085   78.708396
  M4    245.897511  -26.525522  350.973585   15.971828
  M5    229.640634   +2.082683    3.862643   46.795680
  M6    265.086449  -32.254155  356.580982   -0.779382
  M7    268.463251  -34.792827  355.861438   -4.500872
  M8    270.921939  -24.380167    5.971138   -1.177585
  M9    259.799086  -18.516257    5.544423   10.705132
  M10   254.287461   -4.099326   15.137823   23.076702
  M11   282.774955   -6.270024   27.308872   -2.779643
  M12   251.810484   -1.947821   15.716694   26.312457
  M13   250.423458  +36.461306   59.009454   40.911773
  M14   264.400651   -3.245917   21.323874   14.804409
  M15   322.493238  +12.166832   65.012629  -27.312881
  M16   274.700727  -13.807228   16.953883    0.792478
  M17   275.196292  -16.171526   15.095582   -0.745685
  M18   274.993719  -17.101966   14.183399   -1.013096
  M19   255.657014  -26.267940  356.868637    9.382694
  M20   270.675451  -22.971902    7.085893   -0.287804
  M21   271.056031  -22.490046    7.678108   -0.356298
  M22   279.100853  -23.903406    9.893929   -7.551949
  M23   269.269860  -18.985341    9.894854    2.831441
  M24   274.233847  -18.514558   12.596384   -1.044318
  M25   277.944855  -19.114958   13.703498   -4.432016
  M26   281.327741   -9.383608   23.879604   -2.916105
  M27   299.901583  +22.721028   60.836029   -3.696415
  M28   276.137039  -24.869847    7.798193   -5.580683
  M29   305.990721  +38.507677   76.906015    0.591119
  M30   325.091766  -23.179072   27.180114  -46.834946
  M31    10.684793  +41.269065  121.174410  -21.572996
  M32    10.674300  +40.865287  121.150046  -21.976218
  M33    23.462042  +30.660222  133.610157  -31.330637
  M34    40.530826  +42.746151  143.671772  -15.624208
  M35    92.271083  +24.338639  186.606610    2.230577
  M36    84.073919  +34.140736  174.533400    1.071648
  M37    88.076439  +32.552995  177.636311    3.092241
  M38    82.177042  +35.854903  172.248719    0.705762
  M39   322.951336  +48.438158   92.406623   -2.239045
  M40   185.567299  +58.084524  130.336656   58.622415
  M41   101.499740  -20.754212  231.015480  -10.447298
  M42    83.818662   -5.389679  209.010759  -19.383991
  M43    83.880729   -5.267482  208.924926  -19.273578
  M44   130.092492  +19.672065  205.910644   32.479522
  M45    56.869090  +24.105313  166.666611  -23.456353
  M46   115.445080  -14.810011  231.859222    4.067289
  M47   114.145930  -14.482598  230.957535    3.130670
  M48   123.429924   -5.750451  227.873274   15.393325
  M49   187.444841   +8.000476  286.921786   70.196081
  M50   105.668625   -8.364028  221.652153   -1.327924
  M51   202.484167  +47.230556  104.866049   68.524423
  M52   351.201658  +61.593166  112.819577    0.434079
  M53   198.230133  +18.169120  332.965152   79.765067
  M54   283.763641  -30.478501    5.608235  -14.086425
  M55   294.997487  -30.962076    8.794937  -23.269732
  M56   289.147941  +30.184500   62.660234    8.337049
  M57   283.395889  +33.028572   63.169435   13.978138
  M58   189.431342  +11.818194  290.396808   74.355259
  M59   190.509348  +11.647027  294.363398   74.362173
  M60   190.916564  +11.552706  295.873080   74.317843
  M61   185.478732   +4.473646  284.370683   66.275682
  M62   255.302503  -30.112350  353.574595    7.319563
  M63   198.955542  +42.029278  105.997020   74.287608
  M64   194.181837  +21.682970  315.680506   84.423315
  M65   169.732982  +13.092365  241.331179   64.221708
  M66   170.062351  +12.991538  241.960679   64.418463
  M67   132.833866  +11.811957  215.687496   31.909149
  M68   189.866709  -26.743039  299.625851   36.051851
  M69   277.846785  -32.347974    1.723188  -10.269739
  M70   280.802671  -32.291890    2.852959  -12.509396
  M71   298.442121  +18.778402   56.744430   -4.563545
  M72   313.366297  -12.537056   35.163023  -32.683812
  M73   314.733218  -12.635504   35.713979  -33.939782
  M74    24.173946  +15.783662  138.616811  -45.705249
  M75   301.520167  -21.922222   20.303114  -25.747945
  M76    25.582042  +51.575472  130.933606  -10.503892
  M77    40.669629   -0.013281  172.103702  -51.933776
  M78    86.690932   +0.079294  205.328657  -14.311781
  M79    81.044136  -24.524233  227.229133  -29.351503
  M80   244.260456  -22.975115  352.674265   19.463397
  M81   148.888221  +69.065295  142.091822   40.900057
  M82   148.969687  +69.679383  141.409481   40.567495
  M83   204.253958  -29.865417  314.583790   31.973014
  M84   186.265597  +12.886983  278.204468   74.478361
  M85   186.350451  +18.191487  267.711794   79.237680
  M86   186.548928  +12.946222  279.082144   74.636989
  M87   187.705930  +12.391123  283.777754   74.491154
  M88   187.996503  +14.420387  282.328549   76.507774
  M89   188.915864  +12.556341  287.932451   74.966809
  M90   189.207470  +13.162940  288.467059   75.622839
  M91   188.860220  +14.496340  285.693232   76.829650
  M92   259.280295  +43.136523   68.339052   34.859330
  M93   116.121773  -23.853085  240.034055    0.133825
  M94   192.721088  +41.120458  123.363089   76.007331
  M95   160.990417  +11.703806  233.951371   56.367968
  M96   161.690583  +11.819944  234.435335   57.010397
  M97   168.698792  +55.019035  148.489527   57.049944
  M98   183.451188  +14.900334  265.431992   74.959735
  M99   184.706682  +14.416509  270.430690   75.189810
  M100  185.728463  +15.821818  271.136322   76.898314
  M101  210.802267  +54.348950  102.037366   59.771296
  M102  210.802267  +54.348950  102.037366   59.771296
  M103   23.340864  +60.657998  128.048743   -1.796554
  M104  189.997633  -11.623054  298.460586   51.149283
  M105  161.956616  +12.581624  233.490097   57.632755
  M106  184.739602  +47.303973  138.320288   68.842045
  M107  248.132980  -13.053633    3.373578   23.010471
  M108  167.879042  +55.674111  148.314449   56.251752
  M109  179.399917  +53.374528  140.091663   61.923337
  M110   10.092000  +41.685306  120.716350  -21.138816
